politician_name,ticker,est_trade_size,report_date,open_price,close_date,close_price,return_factor,running_return,running_stdev,running_rr_ratio,pct_trade_size
Michael McCaul,FTNT,32500.0,2023-09-25,58.11000061035156,2023-09-30,58.630001068115234,1.0089485536448444,0.9986133024064379,0.04298375715165036,23.232340972038457,0.05
Michael McCaul,NVDA,32500.0,2023-09-25,42.19950866699219,2023-09-27,42.44537734985352,1.005826339941575,0.9985033529251782,0.043200801944007626,23.113074479944473,0.05
Michael McCaul,NVDA,75000.0,2023-09-25,42.19950866699219,2023-09-27,42.44537734985352,1.005826339941575,0.9984246111293029,0.04342817171670398,22.99025198763489,0.05
Pete Sessions,MSFT,8000.0,2023-09-25,313.3399963378906,2023-10-20,322.3492736816406,1.0287524013820273,1.0552788792195773,0.046943794143631576,22.479624803883414,0.05
Pete Sessions,NVDA,8000.0,2023-09-25,42.19950866699219,2023-10-12,46.91999053955078,1.111861062407366,1.0641210384987607,0.05325858643062917,19.98027191136229,0.05
John Curtis,EMR,8000.0,2023-10-05,90.17205810546876,2023-10-13,91.29932403564452,1.0125012776003988,1.0036936290471115,0.048611824668118496,20.6471087209646,0.05
John Curtis,PANW,8000.0,2023-10-05,118.38999938964844,2023-10-13,129.6999969482422,1.0955316970766253,1.0028128641917828,0.05114876216086313,19.605809052385883,0.05
John Curtis,LLY,8000.0,2023-10-05,533.7838745117188,2023-10-13,600.5413208007812,1.1250645616638928,1.0138078734318432,0.05810212246648707,17.448723564558268,0.05
John Curtis,ABT,8000.0,2023-10-05,92.46361541748048,2023-10-13,87.8241195678711,0.9498235513649158,1.0088860025036182,0.05839056279481168,17.27823734203266,0.05
Lloyd Doggett,IBM,8000.0,2023-10-06,132.8523406982422,2023-10-11,133.97479248046875,1.0084488671883929,1.0081541771385942,0.01988587062983074,50.69700974652148,0.05
Lloyd Doggett,HD,8000.0,2023-10-06,280.3800354003906,2023-10-14,284.69842529296875,1.0154019164966983,1.006822700976622,0.02018541951129334,49.87871074036013,0.05
